Abbreviation,LapTime,Compound,AirTemp,GridPosition,Compound_code
VER,111.344,MEDIUM,19.1,2,1
GAS,130.912,MEDIUM,19.1,11,1
PER,120.204,MEDIUM,19.1,9,1
ALO,123.172,MEDIUM,19.1,8,1
LEC,117.439,MEDIUM,19.1,5,1
STR,136.793,MEDIUM,19.1,15,1
MAG,129.92,MEDIUM,19.1,10,1
TSU,127.75,MEDIUM,19.1,14,1
ALB,135.384,MEDIUM,19.1,16,1
ZHO,134.044,MEDIUM,19.1,12,1
HUL,165.271,HARD,19.1,18,0
LAW,133.331,MEDIUM,19.1,17,1
NOR,113.635,MEDIUM,19.1,3,1
HAM,124.279,MEDIUM,19.1,6,1
SAI,119.394,MEDIUM,19.1,7,1
RUS,115.631,MEDIUM,19.1,1,1
BOT,132.082,MEDIUM,19.1,13,1
PIA,118.513,MEDIUM,19.1,4,1
